TYPE,ROTATION,treatment,AU,IFM,ORIGIN
succession,0,,985502004,managed,planted
succession,0,,985503001,managed,planted
succession,0,,985502003,managed,planted
succession,0,,985503000,managed,planted
succession,0,,985501003,managed,natural
succession,1,,985501003,managed,planted
succession,0,,985501001,managed,planted
succession,0,,985502002,managed,natural
succession,1,,985502002,managed,planted
succession,0,,985501000,managed,planted
succession,0,,985502001,managed,planted
succession,0,,985503003,managed,natural
succession,1,,985503003,managed,planted
succession,0,,985501000,managed,natural
succession,0,,985502003,managed,natural
succession,0,,985503000,managed,natural
succession,0,,985502006,managed,natural
succession,1,,985502006,managed,planted
succession,0,,985502007,managed,natural
succession,1,,985502007,managed,planted
succession,0,,985501001,managed,natural
succession,0,,985502008,managed,natural
succession,1,,985502008,managed,planted
succession,0,,985502001,managed,natural
succession,0,,985502005,managed,natural
succession,1,,985502005,managed,planted
succession,0,,985503001,managed,natural
