TRACK,STRATA
1,1.0 x 0+treatment()+AU(985502004)+IFM(managed)+ORIGIN(planted)
2,1.0 x 0+treatment()+AU(985503001)+IFM(managed)+ORIGIN(planted)
3,1.0 x 0+treatment()+AU(985502003)+IFM(managed)+ORIGIN(planted)
4,1.0 x 0+treatment()+AU(985503000)+IFM(managed)+ORIGIN(planted)
5,1.0 x 0+treatment()+AU(985501003)+IFM(managed)+ORIGIN(natural)
6,1.0 x 0+treatment()+AU(985501003)+IFM(managed)+ORIGIN(planted)
7,1.0 x 0+treatment()+AU(985501001)+IFM(managed)+ORIGIN(planted)
8,1.0 x 0+treatment()+AU(985502002)+IFM(managed)+ORIGIN(natural)
9,1.0 x 0+treatment()+AU(985502002)+IFM(managed)+ORIGIN(planted)
10,1.0 x 0+treatment()+AU(985501000)+IFM(managed)+ORIGIN(planted)
11,1.0 x 0+treatment()+AU(985502001)+IFM(managed)+ORIGIN(planted)
12,1.0 x 0+treatment()+AU(985503003)+IFM(managed)+ORIGIN(natural)
13,1.0 x 0+treatment()+AU(985503003)+IFM(managed)+ORIGIN(planted)
14,1.0 x 0+treatment()+AU(985501000)+IFM(managed)+ORIGIN(natural)
15,1.0 x 0+treatment()+AU(985502003)+IFM(managed)+ORIGIN(natural)
16,1.0 x 0+treatment()+AU(985503000)+IFM(managed)+ORIGIN(natural)
17,1.0 x 0+treatment()+AU(985502006)+IFM(managed)+ORIGIN(natural)
18,1.0 x 0+treatment()+AU(985502006)+IFM(managed)+ORIGIN(planted)
19,1.0 x 0+treatment()+AU(985502007)+IFM(managed)+ORIGIN(natural)
20,1.0 x 0+treatment()+AU(985502007)+IFM(managed)+ORIGIN(planted)
21,1.0 x 0+treatment()+AU(985501001)+IFM(managed)+ORIGIN(natural)
22,1.0 x 0+treatment()+AU(985502008)+IFM(managed)+ORIGIN(natural)
23,1.0 x 0+treatment()+AU(985502008)+IFM(managed)+ORIGIN(planted)
24,1.0 x 0+treatment()+AU(985502001)+IFM(managed)+ORIGIN(natural)
25,1.0 x 0+treatment()+AU(985502005)+IFM(managed)+ORIGIN(natural)
26,1.0 x 0+treatment()+AU(985502005)+IFM(managed)+ORIGIN(planted)
27,1.0 x 0+treatment()+AU(985503001)+IFM(managed)+ORIGIN(natural)
